"","StartDate","EndDate","IPAddress","Duration","RecordedDate","ResponseId","LocationLatitude","LocationLongitude","ProlificID","Gender","Education","Salary","AIKnowledge","UsedAI","TimeEnergy","SimilarTasks","EnhanceHurt","Attention","Comments","Submission.id","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Employment.sector","Age","Sex","Ethnicity","Country.of.birth","Country.of.residence","Language","Student.status","Employment.status"
"21","04/15/2023 12:15","04/15/2023 12:16","76.158.139.195",69,"04/15/2023 12:16","R_2CQBJFoAxDqJZgC",38.0253,-121.3009,"60067fd5329f8f92a34200d3","Male","Bachelor’s Degree","$100,000+","Moderately familiar (have some understanding of what AI is and how it works)","I Don't Know","no time","Cannot perform any tasks","detract","Compose an email","","643ae9beb65377151ce06494","2023-04-15T18:15:31.048000Z","2023-04-15T18:16:44.873000Z","2023-04-15T18:16:45.479000","2023-04-15T18:16:45.403459Z",74,"CE3DWF28",779,"Education & Training","28","Male","White","United States","United States","English","No","Full-Time"
"22","04/15/2023 12:15","04/15/2023 12:16","100.16.158.150",72,"04/15/2023 12:16","R_xg49tfByWlA88et",39.1021,-76.6209,"60d013c844b649ad5b781aa5","Female","Bachelor’s Degree","$50,001 - $75,000","Very familiar (up to date with AI trends and developments)","Yes","some time","Can perform only a few tasks","neither","Compose an email","","643ae9c23d415982cd1974af","2023-04-15T18:15:33.558000Z","2023-04-15T18:16:49.520000Z","2023-04-15T18:16:50.022000","2023-04-15T18:16:49.945720Z",76,"CE3DWF28",284,"Education & Training","31","Female","White","United States","United States","English","Yes","Full-Time"
"23","04/15/2023 12:15","04/15/2023 12:17","172.59.168.104",100,"04/15/2023 12:17","R_z2wOEmHpCTLeWJj",38.7102,-90.2359,"628f83dc5398c04bac86f9e6","Male","Graduate Degree","$50,001 - $75,000","Somewhat familiar (heard of AI but have no knowledge of it)","Yes","some time","Can perform many tasks","enhance","Predict a future weather event","","643ae9b3275d58332b8b6f6a","2023-04-15T18:15:19.121000Z","2023-04-15T18:17:04.321000Z","2023-04-15T18:17:04.785000","2023-04-15T18:17:04.709487Z",106,"CE3DWF28",2345,"Education & Training","38","Male","White","United States","United States","English","No","Full-Time"
"24","04/15/2023 12:16","04/15/2023 12:17","172.79.73.112",100,"04/15/2023 12:17","R_3QKlLzhhw5Oaw4o",40.8957,-121.6603,"614f23fabc0fcaa3cdfb9e05","Female","Some College","$0 - $25,000","Somewhat familiar (heard of AI but have no knowledge of it)","Yes","little time","Cannot perform any tasks","neither","Compose an email","none","643ae9df495279fa8b22f033","2023-04-15T18:16:02.438000Z","2023-04-15T18:17:47.948000Z","2023-04-15T18:17:48.417000","2023-04-15T18:17:48.345248Z",106,"CE3DWF28",2982,"Education & Training","47","Female","White","United States","United States","English","No","Part-Time"
"25","04/15/2023 12:16","04/15/2023 12:18","98.245.247.13",103,"04/15/2023 12:18","R_6JqvxYAnZsd8dLr",38.8768,-104.812,"60fe1ac35857bd81dfd311d5","Male","Bachelor’s Degree","$25,001 - $50,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","little time","Can perform only a few tasks","neither","Compose an email","","643ae9f9b3718e70cbbc25c1","2023-04-15T18:16:29.182000Z","2023-04-15T18:18:17.967000Z","2023-04-15T18:18:18.463000","2023-04-15T18:18:18.387762Z",109,"CE3DWF28",520,"Education & Training","25","Male","White","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED"
"26","04/15/2023 12:18","04/15/2023 12:19","76.82.44.213",74,"04/15/2023 12:19","R_2TzYep2269Cokzz",34.3768,-118.5208,"63a0d718bbed03d92665039e","Female","Graduate Degree","$25,001 - $50,000","Moderately familiar (have some understanding of what AI is and how it works)","I Don't Know","some time","Cannot perform any tasks","detract","Compose an email","","643aea807b491b4b96141a1a","2023-04-15T18:18:42.984000Z","2023-04-15T18:20:00.217000Z","2023-04-15T18:20:02.571000","2023-04-15T18:20:02.491746Z",78,"CE3DWF28",505,"Education & Training","54","Female","White","United States","United States","English","No","Part-Time"
"27","04/15/2023 12:18","04/15/2023 12:21","67.252.37.142",156,"04/15/2023 12:21","R_28MXOHcK0rCtrOb",42.9135,-78.889,"59e62b6277860e0001512e14","Male","Graduate Degree","$25,001 - $50,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","some time","Can perform only a few tasks","enhance","Operate a self-driving car","","643aea8b3c152ea88560e42a","2023-04-15T18:18:56.070000Z","2023-04-15T18:21:38.410000Z","2023-04-15T18:21:38.926000","2023-04-15T18:21:38.850606Z",163,"CE3DWF28",3785,"Education & Training","69","Male","Mixed","Cuba","United States","English","DATA_EXPIRED","DATA_EXPIRED"
"28","04/15/2023 12:22","04/15/2023 12:22","24.62.150.254",54,"04/15/2023 12:22","R_CacVpAwBkU4ss0N",42.5781,-71.805,"614fbb4467c4c74f573a94d3","Male","Bachelor’s Degree","$50,001 - $75,000","Very familiar (up to date with AI trends and developments)","Yes","lot of time","Can perform many tasks","enhance","Compose an email","","643aeb4a64b806f85e3adead","2023-04-15T18:22:02.969000Z","2023-04-15T18:23:00.879000Z","2023-04-15T18:23:01.578000","2023-04-15T18:23:01.491278Z",58,"CE3DWF28",3825,"Education & Training","40","Male","White","United States","United States","English","No","Full-Time"
"29","04/15/2023 12:23","04/15/2023 12:25","172.59.177.13",114,"04/15/2023 12:25","R_WCIrZxu6QYTxWzT",43.1511,-77.6425,"5b55da633741e80001c88093","Female","Bachelor’s Degree","$25,001 - $50,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","some time","Can perform only a few tasks","enhance","Compose an email","","643aeb9afb8bdbc8dadc458f","2023-04-15T18:23:26.840000Z","2023-04-15T18:25:28.144000Z","2023-04-15T18:25:28.782000","2023-04-15T18:25:28.700542Z",122,"CE3DWF28",269,"Education & Training","39","Female","White","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED"
"30","04/15/2023 12:24","04/15/2023 12:25","70.171.236.198",61,"04/15/2023 12:25","R_7USqbP1CuVdj1Zv",33.4589,-112.0709,"5dd43df7e0b21b434418ae6c","Female","Graduate Degree","$50,001 - $75,000","Extremely knowledgeable (have an in-depth understanding of AI and its technical workings)","Yes","lot of time","Can perform only a few tasks","enhance","Compose an email","","643aebe201b69cbfaf51223b","2023-04-15T18:24:37.762000Z","2023-04-15T18:25:45.022000Z","2023-04-15T18:25:46.115000","2023-04-15T18:25:46.059135Z",68,"CE3DWF28",765,"Education & Training","24","Female","White","United States","United States","English","No","Full-Time"
"31","04/15/2023 12:24","04/15/2023 12:26","174.194.101.245",118,"04/15/2023 12:26","R_2P6VjSI0hXdgrgm",43.0026,-87.9417,"6101caab1315f0a3159be863","Female","Bachelor’s Degree","$0 - $25,000","Somewhat familiar (heard of AI but have no knowledge of it)","Yes","some time","Can perform only a few tasks","detract","Compose an email","","643aebd1546704d8b165d571","2023-04-15T18:24:22.036000Z","2023-04-15T18:26:25.109000Z","2023-04-15T18:26:25.583000","2023-04-15T18:26:25.522529Z",124,"CE3DWF28",547,"Education & Training","28","Female","White","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED"
"32","04/15/2023 12:25","04/15/2023 12:26","70.173.117.75",79,"04/15/2023 12:26","R_10OCkBK2HLkWPrC",35.9978,-114.9592,"5ed731509a2ae019f3f4f6ea","Female","Some College","$25,001 - $50,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","neutral","Can perform only a few tasks","neither","Compose an email","","643aebfea0757566420a2f52","2023-04-15T18:25:06.272000Z","2023-04-15T18:26:29.786000Z","2023-04-15T18:26:30.271000","2023-04-15T18:26:30.186047Z",84,"CE3DWF28",881,"Education & Training","31","Female","White","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED"
"33","04/15/2023 12:24","04/15/2023 12:27","152.117.98.62",162,"04/15/2023 12:27","R_3hE1IhDalmu4jh1",35.0276,-78.9709,"613d3cb06964f7c524a78ed0","Female","Graduate Degree","$25,001 - $50,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","some time","Can perform many tasks","neither","Compose an email","","643aebe4f1677d810edc45ff","2023-04-15T18:24:43.089000Z","2023-04-15T18:27:31.141000Z","2023-04-15T18:27:31.594000","2023-04-15T18:27:31.529788Z",169,"CE3DWF28",1212,"Education & Training","52","Female","Black","United States","United States","English","No","Part-Time"
"34","04/15/2023 12:26","04/15/2023 12:28","174.228.35.172",130,"04/15/2023 12:28","R_3POfBUsxUelKQN2",41.2969,-95.9674,"610d3f2e9d2333e4a86ca9bc","Female","Graduate Degree","$75,001 - $100,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","lot of time","Can perform only a few tasks","enhance","Compose an email","","643aec4dea5001862d7b3ec8","2023-04-15T18:26:25.117000Z","2023-04-15T18:28:40.124000Z","2023-04-15T18:28:40.559000","2023-04-15T18:28:40.471992Z",136,"CE3DWF28",1807,"Education & Training","62","Female","White","United States","United States","English","No","DATA_EXPIRED"
"35","04/15/2023 12:25","04/15/2023 12:29","75.183.113.250",209,"04/15/2023 12:29","R_2f7GNqlARHJgX5f",36.0358,-79.5075,"6316c38449466a362ee07be9","Male","High School","$0 - $25,000","Very familiar (up to date with AI trends and developments)","Yes","some time","Can perform only a few tasks","neither","Compose an email","","643aec1e624bf027b0e3e04e","2023-04-15T18:25:38.090000Z","2023-04-15T18:29:11.753000Z","2023-04-15T18:29:12.188000","2023-04-15T18:29:12.109035Z",214,"CE3DWF28",937,"Education & Training","19","Male","White","United States","United States","English","Yes","Part-Time"
"36","04/15/2023 12:28","04/15/2023 12:29","173.79.68.245",53,"04/15/2023 12:29","R_2EAEfUkTHDBuZvi",38.9994,-77.0336,"5e52981996dbff2a92ccbd24","Female","Graduate Degree","$50,001 - $75,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","some time","Can perform only a few tasks","enhance","Compose an email","","643aecdeaebd104a04992a42","2023-04-15T18:28:48.314000Z","2023-04-15T18:29:45.462000Z","2023-04-15T18:29:45.915000","2023-04-15T18:29:45.852812Z",58,"CE3DWF28",270,"Education & Training","27","Female","White","United States","United States","English","No","Full-Time"
"37","04/15/2023 12:28","04/15/2023 12:30","149.106.32.242",93,"04/15/2023 12:30","R_1r6Ldn2oiJhTKKj",36.3438,-85.6355,"5f1b2a0146ce431186055813","Male","Graduate Degree","$50,001 - $75,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","some time","Can perform only a few tasks","enhance","Compose an email","","643aecc878c444869b1b23b0","2023-04-15T18:28:27.030000Z","2023-04-15T18:30:03.971000Z","2023-04-15T18:30:05.529000","2023-04-15T18:30:05.452871Z",97,"CE3DWF28",1736,"Education & Training","39","Male","White","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED"
"38","04/15/2023 12:29","04/15/2023 12:30","216.165.95.140",82,"04/15/2023 12:30","R_1rxzQgT4vLrElD8",40.7359,-73.9904,"61338374ecef87bfdfd1c7bb","Male","Some College","$25,001 - $50,000","Very familiar (up to date with AI trends and developments)","Yes","some time","Can perform many tasks","neither","Compose an email","","643aeceda7fbc2ff9e141a3a","2023-04-15T18:29:01.853000Z","2023-04-15T18:30:27.499000Z","2023-04-15T18:30:27.998000","2023-04-15T18:30:27.915177Z",86,"CE3DWF28",2498,"Education & Training","20","Male","White","United States","United States","English","Yes","Part-Time"
"39","04/15/2023 12:29","04/15/2023 12:31","173.25.83.139",97,"04/15/2023 12:31","R_2z6ApRyq8UX55cL",37.2567,-93.2944,"5ed0658e8fec6c13e6e6f154","Male","Bachelor’s Degree","$25,001 - $50,000","Very familiar (up to date with AI trends and developments)","I Don't Know","neutral","Can perform only a few tasks","neither","Compose an email","","643aed146785b9f4449929f9","2023-04-15T18:29:44.617000Z","2023-04-15T18:31:29.259000Z","2023-04-15T18:31:29.761000","2023-04-15T18:31:29.688018Z",105,"CE3DWF28",688,"Education & Training","30","Male","White","United States","United States","English","Yes","Part-Time"
"40","04/15/2023 12:30","04/15/2023 12:31","67.188.116.145",61,"04/15/2023 12:31","R_3GvlWDXZLXs6W6F",37.2941,-121.8996,"5ab09384e1546900019b154c","Female","Bachelor’s Degree","$75,001 - $100,000","Somewhat familiar (heard of AI but have no knowledge of it)","Yes","some time","Can perform only a few tasks","enhance","Compose an email","","643aed4461e80ac0c23bc637","2023-04-15T18:30:30.574000Z","2023-04-15T18:31:38.679000Z","2023-04-15T18:31:39.211000","2023-04-15T18:31:39.136398Z",69,"CE3DWF28",1250,"Education & Training","25","Female","Asian","United States","United States","English","No","Full-Time"
"41","04/15/2023 12:29","04/15/2023 12:31","45.25.98.110",119,"04/15/2023 12:31","R_Z98OUbKjed2HL6F",43.0477,-88.004,"63d3ff28c338c75425b282b9","Male","Graduate Degree","$100,000+","Moderately familiar (have some understanding of what AI is and how it works)","Yes","some time","Can perform only a few tasks","enhance","Compose an email","","643aed1064b806f85e3adee1","2023-04-15T18:29:42.338000Z","2023-04-15T18:31:47.610000Z","2023-04-15T18:31:48.162000","2023-04-15T18:31:48.088541Z",126,"CE3DWF28",374,"Education & Training","46","Male","White","United States","United States","English","No","Full-Time"
"42","04/15/2023 12:30","04/15/2023 12:33","70.171.79.238",154,"04/15/2023 12:33","R_2Yn1UpTJXHxxokE",29.998,-90.2133,"60944d2c3e5e5ae1c1644313","Female","Bachelor’s Degree","$50,001 - $75,000","Somewhat familiar (heard of AI but have no knowledge of it)","Yes","some time","Can perform only a few tasks","enhance","Compose an email","","643aed45208a7f23aae31306","2023-04-15T18:30:35.733000Z","2023-04-15T18:33:14.126000Z","2023-04-15T18:33:14.614000","2023-04-15T18:33:14.534773Z",159,"CE3DWF28",112,"Education & Training","44","Female","White","United States","United States","English","DATA_EXPIRED","Full-Time"
"43","04/15/2023 12:33","04/15/2023 12:34","174.211.32.239",94,"04/15/2023 12:34","R_1Kd9Q3sDXDqMXKr",42.5403,-83.379,"6068f61c52d7168e0c8b049f","Female","Graduate Degree","$50,001 - $75,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","some time","Can perform only a few tasks","neither","Compose an email","","643aedcb1dc7f2862bbc25aa","2023-04-15T18:32:47.554000Z","2023-04-15T18:34:40.147000Z","2023-04-15T18:34:40.641000","2023-04-15T18:34:40.572904Z",113,"CE3DWF28",1535,"Education & Training","36","Female","White","United States","United States","English","No","Full-Time"
"44","04/15/2023 12:33","04/15/2023 12:35","98.155.114.232",113,"04/15/2023 12:35","R_1JVg75vVYqy8eKu",21.4971,-158.0419,"62f406ea9d51a0dd13658afd","Male","Bachelor’s Degree","$0 - $25,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","some time","Can perform only a few tasks","enhance","Compose an email","great study","643aedfd01e7caf0b33398d7","2023-04-15T18:33:49.319000Z","2023-04-15T18:35:46.462000Z","2023-04-15T18:35:47.014000","2023-04-15T18:35:46.918195Z",118,"CE3DWF28",1595,"Education & Training","22","Male","Asian","United States","United States","English","Yes","Part-Time"
